country,population
China,1425887.337
India,1417173.173
United States,338289.857
Indonesia,275501.339
Pakistan,235824.862
Nigeria,218541.212
Brazil,215313.498
Bangladesh,171186.372
Russia,144713.314
Mexico,127504.125
Japan,123951.692
Ethiopia,123379.924
Philippines,115559.009
Egypt,110990.103
DR Congo,99010.212
Vietnam,98186.856
Iran,88550.57
Turkey,85341.241
Germany,83369.843
Thailand,71697.03
United Kingdom,67508.936
Tanzania,65497.748
France,64626.628
South Africa,59893.885
Italy,59037.474
England,57367.811
Myanmar,54179.306
Kenya,54027.487
Colombia,51874.024
South Korea,51815.81
Spain,47558.63
Uganda,47249.585
Sudan,46874.204
Argentina,45510.318
Algeria,44903.225
Iraq,44496.122
Afghanistan,41128.771
Poland,39857.145
Ukraine,39701.739
Canada,38454.327
Morocco,37457.971
Saudi Arabia,36408.82
Angola,35588.987
Uzbekistan,34627.652
Peru,34049.588
Malaysia,33938.221
Yemen,33696.614
Ghana,33475.87
Mozambique,32969.518
Nepal,30547.58
Madagascar,29611.714
Venezuela,28301.696
Ivory Coast,28160.542
Cameroon,27914.536
Niger,26207.977
Australia,26177.413
North Korea,26069.416
Taiwan,23893.394
Burkina Faso,22673.762
Mali,22593.59
Syria,22125.249
Sri Lanka,21832.143
Malawi,20405.317
Zambia,20017.675
Romania,19659.267
Chile,19603.733
Kazakhstan,19397.998
Ecuador,18001
Guatemala,17843.908
Chad,17723.315
Somalia,17597.511
Netherlands,17564.014
Senegal,17316.449
Cambodia,16767.842
Zimbabwe,16320.537
Guinea,13859.341
Rwanda,13776.698
Benin,13352.864
Burundi,12889.576
Tunisia,12356.117
Bolivia,12224.11
Belgium,11655.93
Haiti,11584.996
Jordan,11285.869
Dominican Republic,11228.821
Cuba,11212.191
South Sudan,10913.164
Sweden,10549.347
Czech Republic,10493.986
Honduras,10432.86
Greece,10384.971
Azerbaijan,10358.074
Portugal,10270.865
Papua New Guinea,10142.619
Hungary,9967.308
Tajikistan,9952.787
Belarus,9534.954
United Arab Emirates,9441.129
Israel,9038.309
Austria,8939.617